# Information on the simlations set C8
# caseName: C8
# Number of included simulations: 25
# Number of uncertain parameters: 2
# Number of parameter samples in each direction: 5   5
# Name of uncertain parameters: dx+   dz+
# Admissible range of parameters: [5. 130.]  [5 70] 
#List of simulations name and associated parameter values
# simName    q1      q2
#---------------------------------------------------------
C8_1	10.86376	8.049155
C8_2	33.845668	8.049155
C8_3	67.5		8.049155
C8_4	101.154332	8.049155
C8_5	124.13624	8.049155
C8_6	10.86376	19.999747
C8_7	33.845668	19.999747
C8_8	67.5		19.999747
C8_9	101.154332	19.999747
C8_10	124.13624	19.999747
C8_11	10.86376	37.5
C8_12	33.845668	37.5
C8_13	67.5		37.5
C8_14	101.154332	37.5
C8_15	124.13624	37.5
C8_16	10.86376	55.000253
C8_17	33.845668	55.000253
C8_18	67.5		55.000253
C8_19	101.154332	55.000253
C8_20	124.13624	55.000253
C8_21	10.86376	66.950845
C8_22	33.845668	66.950845
C8_23	67.5		66.950845
C8_24	101.154332	66.950845
C8_25	124.13624	66.950845
